CHEIE,COD_SMIS,TITLU_PROIECT,NUME_BENEFICIAR,NUMAR_AUTORIZARE,DATA_DEPUNERE_CERERE,VALOARE_ELIGIBILA_CERUTA,DATA_AUTORIZATA,VALOARE_AUTORIZATA,DATA_ULTIMEI_PLATI,VALOARE_RAMBURSATA,MOTIV_INTIRZIERE,COD_BENEFICIAR,COD_PO,COD_AP,COD_DMI,COD_OPER,REGIUNEA_BENEFICIARULUI,JUDETUL_BENEFICIARULUI,LOCALITATEA_BENEFICIARULUI,REIMBURS_OP_LIST
9490\4,"9,490",CENTRU REGIONAL PENTRU DEZVOLTAREA ANTREPRENORIATULUI IN RANDUL TINERILOR,Universitatea A.I. Cuza Iasi,4,,,,,,,,96,4,3,3.1,***,NORD-EST,IASI,MUNICIPIUL IASI,
38398\5,"38,398",Cercetarea si prognozarae pietei muncii in vestul Romaniei.Evidentierea somajului neinregistrat din judetul Arad,AGENTIA JUDETEANA PENTRU OCUPAREA FORTEI DE MUNCA ARAD,5,09/27/2013 00:00:00,"434,503",10/25/2013 00:00:00,"433,171",,,,"3,157",4,4,4.1,***,VEST,ARAD,MUNICIPIUL ARAD,
31232\4,"31,232",O sansa pentru cariera ta!,A&C CONSULTING CENTRE SRL,4,04/18/2012 00:00:00,,,,,,,"5,405",4,5,5.1,***,VEST,TIMIS,MUNICIPIUL TIMISOARA,
22111\1,"22,111",Parte de Carte,"FUNDATIA ,,SOROS'",1,10/26/2011 00:00:00,,,,,,,"1,768",4,2,2.2,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,
10044\1,"10,044",Specialistii viitorului pentru educatie si formare,Universitatea Petru Maior,1,10/14/2011 00:00:00,,,,,,,"1,082",4,1,1.3,***,CENTRU,MURES,MUNICIPIUL TÂRGU MURES,
34690\1,"34,690",MAI PERFORMANTI SI EFICIENTI PRIN CRESTEREA UTILIZARII TEHNOLOGIEI INFORMATIEI,EXPERT ACCOUNTING SRL,1,07/22/2013 00:00:00,,,,,,,"12,548",3,3,1,1,SUD-VEST OLTENIA,DOLJ,MUNICIPIUL CRAIOVA,
2664\6,"2,664",CRESTEREA CALITATII SI COMPETITIVITATII ACTIVITATII DE CERCETARE-DEZVOLTARE A INSTITUTULUI DE BIORESURSE ALIMENTARE,INSTITUTUL DE BIORESURSE ALIMENTARE (IBA),6,08/31/2011 00:00:00,"3,645,048",02/22/2012 00:00:00,"3,372,250",,,,"4,594",3,2,2,1,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,
43606\6,"43,606",Investitie in capitalul uman din zona rurala a Judetului Botosani pentru dezvoltarea turismului,Fundatia Amfiteatru,6,07/12/2013 00:00:00,"152,969",07/25/2013 00:00:00,"152,969",,,,"1,156",4,5,5.2,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,
31013\5,"31,013",Competente Profesionale pentru Tinerii in Dificultate ComProf TD,FUNDATIA SFANTUL IOAN BOSCO,5,11/09/2012 00:00:00,"301,889",01/18/2013 00:00:00,"273,977",,,,"5,321",4,5,5.1,***,NORD-EST,BACAU,MUNICIPIUL BACAU,
29723\3,"29,723","Mai instruit, mai multe sanse pe piata muncii!",MEDIA GRUP NORD EST S.R.L.,3,01/16/2012 00:00:00,"403,741",02/22/2012 00:00:00,"403,741",,,,"9,845",4,5,5.1,***,NORD-EST,VASLUI,MUNICIPIUL VASLUI,
21410\3,"21,410","Re?ea regional? pentru promovarea ?i aplicarea conceptelor economiei sociale, în vederea cre?terii ?anselor de reinser?ie social? a persoanelor cu dizabilit??i",Patronatul Medicinei Integrative,3,12/22/2011 00:00:00,,,,,,,"7,505",4,6,6.1,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,
11471\2,"11,471","Achizitie de echipamente si utilaje la S.C. CRISANA PRO CONSTRUCT S.A. din Municipiul Salonta, Judetul Bihor",S.C. CRISANA PRO CONSTRUCT S.A.,2,11/01/2011 00:00:00,,,,,,,"4,613",3,1,1,1,NORD-VEST,BIHOR,MUNICIPIUL SALONTA,
37282\6,"37,282",Formare Profesionala pentru Dezvoltarea Personalului SPO,Centrul National de Formare Profesionala a Personalului Propriu al ANOFM,6,08/22/2013 00:00:00,"932,372",10/21/2013 00:00:00,"898,293",,,,"3,768",4,4,4.2,***,CENTRU,BRASOV,ORAS RÂSNOV,
7638\12,"7,638",Sistem de management al traficului de nave pe Dunare si de informare asupra transportului pe ape interioare - RoRIS,AUTORITATEA NAVALA ROMANA,12,10/10/2012 00:00:00,"1,553,090",04/29/2013 00:00:00,"1,157,999",,,,293,5,3,3.2,***,SUD-EST,CONSTANTA,MUNICIPIUL CONSTANTA,
37642\1,"37,642",Promovarea brandului turistic al Romaniei,MDRAP,1,11/04/2011 00:00:00,,,,,,Necesita vizita pe teren,"7,235",1,5,5.3,1,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,
1521\3,"1,521",Dezvoltarea sistemului national de management si asigurare a calitatii in invatamântul preuniversitar,Agentia Romana de Asigurare a Calitatii in Invatamantul Preuniversitar,3,06/12/2013 00:00:00,,,,,,,"1,434",4,1,1.1,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,
24523\9,"24,523",Start la Antreprenoriat! ? reducerea somajului prin stimularea dezvoltarii de noi afaceri din randul somerilor si creare de noi locuri de munca.,ASOCIATIA EUROPEANA PENTRU O VIATA MAI BUNA,9,05/31/2013 00:00:00,"1,176,200",06/27/2013 00:00:00,"1,050,936",,,,"7,379",4,5,5.1,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,
22491\1,"22,491",Formarea continua a profesorilor de Matematica in societatea cunoasterii,INSPECTORATUL SCOLAR AL JUDETULUI IASI,1,05/03/2011 00:00:00,"87,672",02/10/2012 00:00:00,"85,905",,,,"3,635",4,1,1.3,***,NORD-EST,IASI,MUNICIPIUL IASI,
44812\6,"44,812",Iarba verde de la SATE,"CENTRUL JUDETEAN DE INFORMARE, CONSILIERE SI FORMARE PROFESIONALA PENTRU VOI ",6,08/12/2013 00:00:00,"250,512",09/17/2013 00:00:00,"250,512",,,,"10,428",4,5,5.2,***,NORD-VEST,MARAMURES,MUNICIPIUL BAIA MARE,
36347\1,"36,347",Sprijinirea activitatii asociatiei Garaboncias prin conectare la internet si utilizare TIC,Asociatia Garaboncias,1,06/13/2013 00:00:00,"15,252",08/06/2013 00:00:00,"15,252",,,,"12,938",3,3,1,1,CENTRU,MURES,MUNICIPIUL TÂRGU MURES,
22456\9,"22,456",FEMEI 2010,FEROM TRADING SRL,9,08/08/2013 00:00:00,"1,564,278",08/29/2013 00:00:00,"1,555,070",,,,"7,839",4,6,6.3,***,NORD-EST,BACAU,MUNICIPIUL BACAU,
30896\1,"30,896",WORKACCES NORD-EST- Program pilot de crestere a gradului de ocupare in regiunea Nord-Est,AGENTIA JUDETEANA PENTRU OCUPAREA FORTEI DE MUNCA  NEAMT,1,02/18/2011 00:00:00,,,,,,,"9,844",4,5,5.1,***,NORD-EST,NEAMT,MUNICIPIUL PIATRA-NEAMT,
43930\6,"43,930",Cresterea competentelor anteprenoriale in zonele rurale,Centrul European pentru Integrarea si Promovarea Romilor,6,10/10/2013 00:00:00,"444,814",10/29/2013 00:00:00,"444,814",,,,"1,758",4,5,5.2,***,SUD-VEST OLTENIA,DOLJ,MUNICIPIUL CRAIOVA,
21066\8,"21,066",Formarea si certificarea competentelor profesionale,S.C. AFACOV CONSULTING GROUP S.R.L.,8,03/13/2012 00:00:00,"493,696",07/20/2012 00:00:00,"493,696",,,,"3,813",4,2,2.3,***,CENTRU,COVASNA,MUNICIPIUL SFÂNTU GHEORGHE,
4000\6,"4,000",BURSE DOCTORALE - O INVESTITIE IN INTELIGENTA (BRAIN),"Universitatea Tehnica ""Gheorghe Asachi""",6,11/19/2010 00:00:00,,,,,,,51,4,1,1.5,***,NORD-EST,IASI,MUNICIPIUL IASI,
21740\5,"21,740",Alianta pentru Dezvoltarea Economiei Sociale,Fundatia Alaturi de Voi Romania,5,09/20/2011 00:00:00,,,,,,,"1,415",4,6,6.1,***,NORD-EST,IASI,MUNICIPIUL IASI,
23099\2,"23,099",Retea multi-regionala de dezvoltare a antreprenoriatului,Agentia Judeteana pentru Ocuparea Fortei de Munca Iasi,2,10/31/2011 00:00:00,,,,,,,"7,845",4,3,3.1,***,NORD-EST,IASI,MUNICIPIUL IASI,
28324\2,"28,324",DEZVOLTAREA CAPACITATILOR TEHNOLOGICE ALE SC GLOBAL PRODUCTION AGENCY SRL,Global Production Agency SRL,2,07/25/2012 00:00:00,,,,,,,"4,768",3,1,1,1,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,
30034\3,"30,034","SPRIJIN ZONAL DE FORMARE PROFESIONALA, INFORMARE SI ASISTENTA IN DEZVOLTAREA CARIEREI",SINDICATUL MINIER  - CARBONIFERA,3,10/18/2011 00:00:00,,,,,,,"9,956",4,5,5.1,***,SUD - MUNTENIA,ARGES,MUNICIPIUL CÂMPULUNG,
22616\5,"22,616",Formarea continua a profesorilor de Matematica si Stiinte Economice in societatea cunoasterii,Universitatea Andrei Saguna ,5,07/02/2013 00:00:00,,,,,,,"1,586",4,1,1.3,***,SUD-EST,CONSTANTA,MUNICIPIUL CONSTANTA,
11682\2,"11,682","Achizitie de echipamente la SC INTER-PAL SERVICII SRL COM. DIOSIG, STR.DUMBRAVEI, NR.82, JUDETUL BIHOR",INTER PAL SERVICII SRL,2,04/12/2012 00:00:00,,,,,,,"4,730",3,1,1,1,NORD-VEST,BIHOR,DIOSIG,
39938\2,"39,938",PLAN INVESTITIONAL DE DEZVOLTARE A SECTORULUI PRODUCTIV AL SC TERMOREP SRL,TERMOREP SRL,2,08/27/2012 00:00:00,,,,,,,"6,551",3,1,1,1,SUD-VEST OLTENIA,VALCEA,MUNICIPIUL RAMNICU VALCEA,
21646\8,"21,646",ORIZONT 2009,DIRECTIA GENERALA DE ASISTENTA SOCIALA SI PROTECTIA COPILULUI -SECTOR 1,8,08/28/2012 00:00:00,"740,999",08/28/2012 00:00:00,"682,123",,,,"7,583",4,6,6.1,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,
22956\6,"22,956",SANATATE SI SECURITATE LA LOCUL DE MUNCA IN COMERT-SITCOM,MENTOR TRADING SRL,6,05/31/2012 00:00:00,,,,,,,"7,997",4,3,3.2,***,SUD - MUNTENIA,ARGES,MUNICIPIUL PITESTI,
